,R_INH,S_INH,R_EMB,S_EMB,R_RIF,S_RIF,R_PZA,S_PZA,R_Multi,S_Multi
43,ERR2041683,ERR2515052,ERR2041688,ERR2512522,ERR2516302,ERR2512787,ERR2516349,ERR2514190,ERR2516196,ERR2514332
44,ERR2199786,ERR2514777,ERR2041689,ERR2514255,ERR2516206,ERR2516356,ERR2516166,ERR2514687,ERR2516188,ERR2514249
45,ERR2516167,ERR2514332,ERR2199799,ERR2514198,ERR2513786,ERR2512421,ERR2516175,ERR2512787,ERR2516199,ERR2512696
46,ERR2516263,ERR2514249,ERR2516303,ERR2512573,ERR2512979,ERR2513896,ERR2513241,ERR2516186,ERR2513408,ERR2514641
47,ERR2516177,ERR2512696,ERR2516198,ERR2514640,ERR2516343,ERR2512522,ERR2513811,ERR2516356,ERR2512700,ERR2514284
48,ERR2516252,ERR2514641,ERR2516181,ERR2512531,ERR2199818,ERR2514255,ERR2512755,ERR2513880,ERR2514240,ERR2514482
49,ERR2513113,ERR2514284,ERR2516301,ERR2513260,ERR2516287,ERR2514198,ERR2512878,ERR2512421,ERR2512882,ERR2513269
50,ERR2512478,ERR2514482,ERR2516254,ERR2515052,ERR2516270,ERR2512573,ERR2512440,ERR2513896,ERR2514887,ERR2514656
51,ERR2041684,ERR2513269,ERR2516333,ERR2514293,ERR2516261,ERR2514640,ERR2514285,ERR2512522,ERR2515042,ERR2514662
52,ERR2041685,ERR2514656,ERR2516352,ERR2514777,ERR2516257,ERR2512531,ERR2513720,ERR2514255,ERR2514422,ERR2199742
53,ERR2199795,ERR2514662,ERR2516289,ERR2514332,ERR2516349,ERR2513260,ERR2516313,ERR2514198,ERR2513656,ERR2199743
54,ERR2041688,ERR2199742,ERR2516302,ERR2514249,ERR2516166,ERR2515052,ERR1768629,ERR2512926,ERR2512975,ERR2199744
55,ERR2041689,ERR2199743,ERR2516206,ERR2512696,ERR2516286,ERR2514293,ERR2516281,ERR2512573,ERR2513831,ERR2199745
56,ERR2199799,ERR2199744,ERR2512386,ERR2514641,ERR2514994,ERR2514777,ERR2516308,ERR2514640,ERR2514633,ERR2199746
57,ERR2199804,ERR2199745,ERR2513786,ERR2514284,ERR2513441,ERR2514332,ERR2516345,ERR2512531,ERR2514487,ERR2199754
58,ERR2516303,ERR2199746,ERR2512979,ERR2514482,ERR2514155,ERR2514249,ERR2516336,ERR2513260,ERR2513994,ERR2199769
59,ERR2516198,ERR2199749,ERR2516343,ERR2513269,ERR2513295,ERR2512696,ERR2516239,ERR2515052,ERR2041698,ERR2199770
60,ERR2516181,ERR2199754,ERR2199818,ERR2514656,ERR1768629,ERR2514641,ERR2516213,ERR2514293,ERR2041709,ERR2199772
61,ERR2516301,ERR2199769,ERR2516357,ERR2514662,ERR2516281,ERR2514284,ERR2516189,ERR2514777,ERR2041712,ERR2199773
62,ERR2516254,ERR2199770,ERR2516274,ERR2199742,ERR2516308,ERR2514482,ERR2516215,ERR2514332,ERR2199914,ERR2199776
63,ERR2516333,ERR2199771,ERR2516270,ERR2199743,ERR2516245,ERR2513269,ERR2516264,ERR2514249,ERR2041717,ERR2199777
64,ERR2516352,ERR2199772,ERR2516295,ERR2199744,ERR2516336,ERR2514656,ERR2516191,ERR2512696,ERR2041720,ERR2199780
65,ERR2516289,ERR2199773,ERR2516261,ERR2199745,ERR2516239,ERR2514662,ERR2516339,ERR2514641,ERR2041721,ERR2199781
66,ERR2516302,ERR2199776,ERR2516347,ERR2199746,ERR2516213,ERR2199742,ERR2516273,ERR2514284,ERR2041727,ERR2199783
