,R_INH,S_INH,R_EMB,S_EMB,R_RIF,S_RIF,R_PZA,S_PZA,R_Multi,S_Multi
946,None,ERR2514489,None,ERR2514781,None,ERR2513906,None,ERR2513375,None,ERR2512710
947,None,ERR2514260,None,ERR2512432,None,ERR2512555,None,ERR2514152,None,ERR2513745
948,None,ERR2513132,None,ERR2515058,None,ERR2514212,None,ERR2514465,None,ERR2512565
949,None,ERR2513315,None,ERR2513606,None,ERR2514942,None,ERR2514632,None,ERR2513263
950,None,ERR2512915,None,ERR2513099,None,ERR2513424,None,ERR2513967,None,ERR2515029
951,None,ERR2514519,None,ERR2512426,None,ERR2514625,None,ERR2513277,None,ERR2514670
952,None,ERR2514845,None,ERR2514674,None,ERR2513722,None,ERR2513988,None,ERR2514203
953,None,ERR2514467,None,ERR2513019,None,ERR2514179,None,ERR2513706,None,ERR2512506
954,None,ERR2514868,None,ERR2512998,None,ERR2514607,None,ERR2513482,None,ERR2513281
955,None,ERR2512640,None,ERR2513530,None,ERR2513375,None,ERR2514781,None,ERR2514209
956,None,ERR2513278,None,ERR2514585,None,ERR2514152,None,ERR2512432,None,ERR2513937
957,None,ERR2513105,None,ERR2512874,None,ERR2514465,None,ERR2515058,None,ERR2513282
958,None,ERR2514285,None,ERR2512852,None,ERR2514632,None,ERR2513606,None,ERR2512798
959,None,ERR2513761,None,ERR2513833,None,ERR2513967,None,ERR2513099,None,ERR2513484
960,None,ERR2515073,None,ERR2514031,None,ERR2513277,None,ERR2512426,None,ERR2514004
961,None,ERR2515031,None,ERR2514155,None,ERR2513988,None,ERR2514674,None,ERR2513405
962,None,ERR2512499,None,ERR2512995,None,ERR2513706,None,ERR2513019,None,ERR2513362
963,None,ERR2513616,None,ERR2514707,None,ERR2513482,None,ERR2512998,None,ERR2512671
964,None,ERR2513134,None,ERR2514358,None,ERR2514781,None,ERR2513530,None,ERR2512614
965,None,ERR2513227,None,ERR2514172,None,ERR2512432,None,ERR2514585,None,ERR2513119
966,None,ERR2513675,None,ERR2514134,None,ERR2515058,None,ERR2512874,None,ERR2515043
967,None,ERR2512763,None,ERR2514863,None,ERR2513606,None,ERR2512852,None,ERR2513178
968,None,ERR2513388,None,ERR2513021,None,ERR2513099,None,ERR2513833,None,ERR2514472
969,None,ERR2513791,None,ERR2514532,None,ERR2512426,None,ERR2514031,None,ERR2515002
970,None,ERR2512626,None,ERR2514734,None,ERR2514674,None,ERR2514155,None,ERR2513073
971,None,ERR2512452,None,ERR2513418,None,ERR2513019,None,ERR2514707,None,ERR2513444
972,None,ERR2512710,None,ERR2513028,None,ERR2512998,None,ERR2514358,None,ERR2513407
973,None,ERR2513745,None,ERR2512805,None,ERR2513530,None,ERR2514172,None,ERR2512903
974,None,ERR2512565,None,ERR2513033,None,ERR2514585,None,ERR2514134,None,ERR2514987
975,None,ERR2513263,None,ERR2514440,None,ERR2512874,None,ERR2514863,None,ERR2513689
976,None,ERR2515029,None,ERR2514448,None,ERR2512852,None,ERR2513021,None,ERR2513931
977,None,ERR2514670,None,ERR2514169,None,ERR2513833,None,ERR2514532,None,ERR2513156
978,None,ERR2514203,None,ERR2513898,None,ERR2514031,None,ERR2514734,None,ERR2514792
979,None,ERR2512506,None,ERR2513595,None,ERR2512995,None,ERR2513418,None,ERR2514967
980,None,ERR2513281,None,ERR2514079,None,ERR2514707,None,ERR2513028,None,ERR2514289
981,None,ERR2514209,None,ERR2514751,None,ERR2514358,None,ERR2512805,None,ERR2515010
982,None,ERR2513937,None,ERR2513222,None,ERR2514172,None,ERR2513033,None,ERR2514865
983,None,ERR2513282,None,ERR2514419,None,ERR2514134,None,ERR2514440,None,ERR2512953
984,None,ERR2512798,None,ERR2514429,None,ERR2514863,None,ERR2514448,None,ERR2514986
985,None,ERR2513484,None,ERR2514915,None,ERR2513021,None,ERR2514169,None,ERR2512845
986,None,ERR2514004,None,ERR2514931,None,ERR2514532,None,ERR2513898,None,ERR2514927
987,None,ERR2513405,None,ERR2514626,None,ERR2514734,None,ERR2513595,None,ERR2514917
988,None,ERR2513362,None,ERR2514826,None,ERR2513418,None,ERR2514079,None,ERR2513855
989,None,ERR2512671,None,ERR2513035,None,ERR2513028,None,ERR2514751,None,ERR2514268
990,None,ERR2512614,None,ERR2513199,None,ERR2512805,None,ERR2513222,None,ERR2513029
991,None,ERR2513119,None,ERR2513066,None,ERR2512440,None,ERR2514419,None,ERR2513095
992,None,ERR2515043,None,ERR2514844,None,ERR2513033,None,ERR2514429,None,ERR2514634
993,None,ERR2513178,None,ERR2514489,None,ERR2514440,None,ERR2514915,None,ERR2513209
994,None,ERR2514472,None,ERR2514260,None,ERR2514448,None,ERR2514931,None,ERR2513703
995,None,ERR2515002,None,ERR2513132,None,ERR2514169,None,ERR2514626,None,ERR2512446
996,None,ERR2513073,None,ERR2513315,None,ERR2513898,None,ERR2514826,None,ERR2513268
997,None,ERR2513444,None,ERR2512915,None,ERR2513595,None,ERR2513035,None,ERR2513215
998,None,ERR2513407,None,ERR2514519,None,ERR2514079,None,ERR2513199,None,ERR2514726
999,None,ERR2512903,None,ERR2514845,None,ERR2514751,None,ERR2513066,None,ERR2514433
1000,None,ERR2514987,None,ERR2514467,None,ERR2513222,None,ERR2514844,None,ERR2513226
1001,None,ERR2513689,None,ERR2514868,None,ERR2514419,None,ERR2514489,None,ERR2514802
1002,None,ERR2513931,None,ERR2512640,None,ERR2514429,None,ERR2514260,None,ERR2513570
1003,None,ERR2513156,None,ERR2513278,None,ERR2514915,None,ERR2513132,None,ERR2512895
1004,None,ERR2514792,None,ERR2513105,None,ERR2514931,None,ERR2513315,None,ERR2512424
1005,None,ERR2514967,None,ERR2514285,None,ERR2514626,None,ERR2512915,None,ERR2514214
1006,None,ERR2514289,None,ERR2513761,None,ERR2514826,None,ERR2514519,None,ERR2513477
1007,None,ERR2515010,None,ERR2515073,None,ERR2513035,None,ERR2514845,None,ERR2514324
1008,None,ERR2514865,None,ERR2515031,None,ERR2513199,None,ERR2514467,None,ERR2514912
1009,None,ERR2512953,None,ERR2512499,None,ERR2513066,None,ERR2514868,None,ERR2514892
1010,None,ERR2514986,None,ERR2513616,None,ERR2514844,None,ERR2512640,None,ERR2513230
1011,None,ERR2512845,None,ERR2513134,None,ERR2514489,None,ERR2513278,None,ERR2514950
1012,None,ERR2514927,None,ERR2513227,None,ERR2514260,None,ERR2513105,None,ERR2514939
1013,None,ERR2514917,None,ERR2513675,None,ERR2513132,None,ERR2513761,None,ERR2513246
1014,None,ERR2513855,None,ERR2512763,None,ERR2513315,None,ERR2515073,None,ERR2513890
1015,None,ERR2514268,None,ERR2513388,None,ERR2512915,None,ERR2515031,None,ERR2514970
1016,None,ERR2513029,None,ERR2512452,None,ERR2514519,None,ERR2512499,None,ERR2513927
1017,None,ERR2513095,None,ERR2512710,None,ERR2514845,None,ERR2513616,None,ERR2513732
1018,None,ERR2514634,None,ERR2512595,None,ERR2514467,None,ERR2513134,None,ERR2512502
1019,None,ERR2513209,None,ERR2513745,None,ERR2514868,None,ERR2513227,None,ERR2513069
1020,None,ERR2513703,None,ERR2512565,None,ERR2512640,None,ERR2513675,None,ERR2513930
1021,None,ERR2512446,None,ERR2513263,None,ERR2513278,None,ERR2512763,None,ERR2512567
1022,None,ERR2513268,None,ERR2515029,None,ERR2513105,None,ERR2513388,None,ERR2514436
1023,None,ERR2513215,None,ERR2514670,None,ERR2514285,None,ERR2513791,None,ERR2514248
1024,None,ERR2514726,None,ERR2514203,None,ERR2513761,None,ERR2512626,None,ERR2513249
1025,None,ERR2514433,None,ERR2513219,None,ERR2515073,None,ERR2512452,None,ERR2512764
1026,None,ERR2513226,None,ERR2512506,None,ERR2515031,None,ERR2512710,None,ERR2513174
1027,None,ERR2514802,None,ERR2513122,None,ERR2512499,None,ERR2512595,None,ERR2513864
1028,None,ERR2513570,None,ERR2513281,None,ERR2513616,None,ERR2513745,None,ERR2512885
1029,None,ERR2512895,None,ERR2514209,None,ERR2513134,None,ERR2512565,None,ERR2513475
1030,None,ERR2513720,None,ERR2513937,None,ERR2513227,None,ERR2513263,None,ERR2513715
1031,None,ERR2512424,None,ERR2513282,None,ERR2513675,None,ERR2515029,None,ERR2512481
1032,None,ERR2514214,None,ERR2512798,None,ERR2512763,None,ERR2514670,None,ERR2513623
1033,None,ERR2513477,None,ERR2513484,None,ERR2513388,None,ERR2514203,None,ERR2514786
1034,None,ERR2514324,None,ERR2514004,None,ERR2513791,None,ERR2513219,None,ERR2514596
1035,None,ERR2514912,None,ERR2513405,None,ERR2512626,None,ERR2512506,None,ERR2513139
1036,None,ERR2514892,None,ERR2513362,None,ERR2512452,None,ERR2513122,None,ERR2513039
1037,None,ERR2513230,None,ERR2512671,None,ERR2512710,None,ERR2513281,None,ERR2513997
1038,None,ERR2514950,None,ERR2512614,None,ERR2512595,None,ERR2514209,None,ERR2513114
1039,None,ERR2514939,None,ERR2513119,None,ERR2513745,None,ERR2513937,None,ERR2513869
1040,None,ERR2513246,None,ERR2515043,None,ERR2512565,None,ERR2513282,None,ERR2514163
1041,None,ERR2513890,None,ERR2513178,None,ERR2513263,None,ERR2512798,None,ERR2512945
1042,None,ERR2514970,None,ERR2514472,None,ERR2515029,None,ERR2513484,None,ERR2514833
1043,None,ERR2513927,None,ERR2513047,None,ERR2514670,None,ERR2514004,None,ERR2513252
1044,None,ERR2513732,None,ERR2515002,None,ERR2514203,None,ERR2513405,None,ERR2512417
1045,None,ERR2512502,None,ERR2513073,None,ERR2513219,None,ERR2513362,None,ERR2514830
1046,None,ERR2513069,None,ERR2513444,None,ERR2512506,None,ERR2512671,None,ERR2512652
1047,None,ERR2513930,None,ERR2513407,None,ERR2513122,None,ERR2512614,None,ERR2513687
1048,None,ERR2512567,None,ERR2512903,None,ERR2513281,None,ERR2513119,None,ERR2514147
1049,None,ERR2514436,None,ERR2514987,None,ERR2514209,None,ERR2515043,None,ERR2513958
1050,None,ERR2514248,None,ERR2513689,None,ERR2513937,None,ERR2513178,None,ERR2512865
1051,None,ERR2513249,None,ERR2513931,None,ERR2513282,None,ERR2514472,None,ERR2514843
1052,None,ERR2512764,None,ERR2513156,None,ERR2512798,None,ERR2513047,None,ERR2512887
1053,None,ERR2513174,None,ERR2513267,None,ERR2513484,None,ERR2515002,None,ERR2512669
1054,None,ERR2513864,None,ERR2514792,None,ERR2514004,None,ERR2513073,None,ERR2514089
1055,None,ERR2512885,None,ERR2514967,None,ERR2513405,None,ERR2513444,None,ERR2513129
1056,None,ERR2513475,None,ERR2514289,None,ERR2513362,None,ERR2513407,None,ERR2514103
1057,None,ERR2513715,None,ERR2515010,None,ERR2512671,None,ERR2512903,None,ERR2514132
1058,None,ERR2512481,None,ERR2514865,None,ERR2512614,None,ERR2514987,None,ERR2513985
1059,None,ERR2513623,None,ERR2512953,None,ERR2513119,None,ERR2513689,None,ERR2513968
1060,None,ERR2514786,None,ERR2514986,None,ERR2515043,None,ERR2513931,None,ERR2514049
1061,None,ERR2514596,None,ERR2512845,None,ERR2513178,None,ERR2513156,None,ERR2513851
1062,None,ERR2513139,None,ERR2514927,None,ERR2514472,None,ERR2513267,None,ERR2514336
1063,None,ERR2513039,None,ERR2514917,None,ERR2513047,None,ERR2514792,None,ERR2513357
1064,None,ERR2513997,None,ERR2513855,None,ERR2515002,None,ERR2514967,None,ERR2512706
1065,None,ERR2513114,None,ERR2514268,None,ERR2513073,None,ERR2514289,None,ERR2513012
1066,None,ERR2513869,None,ERR2513029,None,ERR2513444,None,ERR2515010,None,ERR2513916
1067,None,ERR2514163,None,ERR2513095,None,ERR2513407,None,ERR2514865,None,ERR2513809
1068,None,ERR2512945,None,ERR2514634,None,ERR2512903,None,ERR2512953,None,ERR2513503
1069,None,ERR2514833,None,ERR2513209,None,ERR2514987,None,ERR2514986,None,ERR2513336
1070,None,ERR2513252,None,ERR2513703,None,ERR2513689,None,ERR2512845,None,ERR2512707
1071,None,ERR2512417,None,ERR2512446,None,ERR2513931,None,ERR2514927,None,ERR2513123
1072,None,ERR2514830,None,ERR2513268,None,ERR2513156,None,ERR2514917,None,ERR2512759
1073,None,ERR2512652,None,ERR2513215,None,ERR2513267,None,ERR2513855,None,ERR2513560
1074,None,ERR2513687,None,ERR2514726,None,ERR2514792,None,ERR2514268,None,ERR2514895
1075,None,ERR2514147,None,ERR2514433,None,ERR2514967,None,ERR2513029,None,ERR2514762
1076,None,ERR2513958,None,ERR2513226,None,ERR2514289,None,ERR2513095,None,ERR2512687
1077,None,ERR2512865,None,ERR2514802,None,ERR2515010,None,ERR2514634,None,ERR2513637
1078,None,ERR2514843,None,ERR2513570,None,ERR2514865,None,ERR2513209,None,ERR2199828
1079,None,ERR2512887,None,ERR2512895,None,ERR2512953,None,ERR2513703,None,ERR2516321
1080,None,ERR2512669,None,ERR2513720,None,ERR2514986,None,ERR2512446,None,ERR2516334
1081,None,ERR2514089,None,ERR2512424,None,ERR2512845,None,ERR2513268,None,ERR2516170
1082,None,ERR2513129,None,ERR2514214,None,ERR2514927,None,ERR2513215,None,ERR2516283
1083,None,ERR2514103,None,ERR2513477,None,ERR2514917,None,ERR2514726,None,ERR2516355
1084,None,ERR2514132,None,ERR2514324,None,ERR2513855,None,ERR2514433,None,ERR2516277
1085,None,ERR2513985,None,ERR2514912,None,ERR2514268,None,ERR2513226,None,ERR2516337
1086,None,ERR2513968,None,ERR2514892,None,ERR2513029,None,ERR2514802,None,ERR2516233
1087,None,ERR2514049,None,ERR2513230,None,ERR2513095,None,ERR2513570,None,ERR2516200
1088,None,ERR2513851,None,ERR2514950,None,ERR2514634,None,ERR2512895,None,ERR2516292
1089,None,ERR2514336,None,ERR2514939,None,ERR2513209,None,ERR2512424,None,ERR2516195
1090,None,ERR2513357,None,ERR2513246,None,ERR2513703,None,ERR2514214,None,ERR2516169
1091,None,ERR2512706,None,ERR2513890,None,ERR2512446,None,ERR2513477,None,ERR2516326
1092,None,ERR2513012,None,ERR2514970,None,ERR2513268,None,ERR2514324,None,ERR2516279
1093,None,ERR2513916,None,ERR2513927,None,ERR2513215,None,ERR2515014,None,ERR2516346
1094,None,ERR2513809,None,ERR2513732,None,ERR2514726,None,ERR2514912,None,ERR2516173
1095,None,ERR2513503,None,ERR2512502,None,ERR2514433,None,ERR2514892,None,ERR2516310
1096,None,ERR2513336,None,ERR2513069,None,ERR2513226,None,ERR2513230,None,ERR2516284
1097,None,ERR2512707,None,ERR2513930,None,ERR2514802,None,ERR2514950,None,ERR2516342
1098,None,ERR2512664,None,ERR2512567,None,ERR2513570,None,ERR2514939,None,ERR2516314
1099,None,ERR2513123,None,ERR2514436,None,ERR2512895,None,ERR2513246,None,ERR2516201
1100,None,ERR2512759,None,ERR2514248,None,ERR2513720,None,ERR2513890,None,ERR2516276
1101,None,ERR2513560,None,ERR2513249,None,ERR2512424,None,ERR2514970,None,ERR2516171
1102,None,ERR2514895,None,ERR2514244,None,ERR2514214,None,ERR2513927,None,ERR2516168
1103,None,ERR2514762,None,ERR2512764,None,ERR2513477,None,ERR2513732,None,ERR2516228
1104,None,ERR2512687,None,ERR2513174,None,ERR2514324,None,ERR2512502,None,ERR2516350
1105,None,ERR2513637,None,ERR2513864,None,ERR2514912,None,ERR2513069,None,ERR2516244
1106,None,ERR2199828,None,ERR2512885,None,ERR2514892,None,ERR2513930,None,ERR2516315
1107,None,ERR2516321,None,ERR2513475,None,ERR2513230,None,ERR2512567,None,ERR2516235
1108,None,ERR2516334,None,ERR2513715,None,ERR2514950,None,ERR2514436,None,ERR2516259
1109,None,ERR2516170,None,ERR2512481,None,ERR2514939,None,ERR2514248,None,ERR2516323
1110,None,ERR2516283,None,ERR2513623,None,ERR2513246,None,ERR2513249,None,ERR2516278
1111,None,ERR2516355,None,ERR2512468,None,ERR2513890,None,ERR2514244,None,ERR2516275
1112,None,ERR2516277,None,ERR2514786,None,ERR2514970,None,ERR2512764,None,ERR2516204
1113,None,ERR2516337,None,ERR2514596,None,ERR2513927,None,ERR2513174,None,ERR2516360
1114,None,ERR2516233,None,ERR2513139,None,ERR2513732,None,ERR2513864,None,ERR2516328
1115,None,ERR2516200,None,ERR2513039,None,ERR2512502,None,ERR2512885,None,ERR2516312
1116,None,ERR2516292,None,ERR2513997,None,ERR2513069,None,ERR2513475,None,ERR2516267
1117,None,ERR2516189,None,ERR2513114,None,ERR2513930,None,ERR2513715,None,ERR2516216
1118,None,ERR2516195,None,ERR2513869,None,ERR2512567,None,ERR2512481,None,ERR2516223
1119,None,ERR2516169,None,ERR2514163,None,ERR2514436,None,ERR2513623,None,ERR2516299
1120,None,ERR2516326,None,ERR2512945,None,ERR2514248,None,ERR2512468,None,ERR2516172
1121,None,ERR2516215,None,ERR2514833,None,ERR2513249,None,ERR2514786,None,ERR2516272
1122,None,ERR2516279,None,ERR2513252,None,ERR2514244,None,ERR2514596,None,ERR2516193
1123,None,ERR2516346,None,ERR2512417,None,ERR2512764,None,ERR2513139,None,ERR2516332
1124,None,ERR2516173,None,ERR2514830,None,ERR2513174,None,ERR2513039,None,ERR2516224
1125,None,ERR2516310,None,ERR2512652,None,ERR2513864,None,ERR2513997,None,ERR2516260
1126,None,ERR2516284,None,ERR2513687,None,ERR2512885,None,ERR2513114,None,ERR2516197
1127,None,ERR2516342,None,ERR2514147,None,ERR2513475,None,ERR2513869,None,ERR2516348
1128,None,ERR2516314,None,ERR2513958,None,ERR2513715,None,ERR2514163,None,ERR2516225
1129,None,ERR2516201,None,ERR2513998,None,ERR2512481,None,ERR2512945,None,ERR2516248
1130,None,ERR2516276,None,ERR2514945,None,ERR2513623,None,ERR2514833,None,ERR2516242
1131,None,ERR2516171,None,ERR2512865,None,ERR2512468,None,ERR2513252,None,ERR2516179
1132,None,ERR2516191,None,ERR2514843,None,ERR2514786,None,ERR2512417,None,ERR2516236
1133,None,ERR2516168,None,ERR2512887,None,ERR2514596,None,ERR2514830,None,ERR2516241
1134,None,ERR2516339,None,ERR2512669,None,ERR2513139,None,ERR2512652,None,ERR2516212
1135,None,ERR2516228,None,ERR2514089,None,ERR2513039,None,ERR2513687,None,ERR2516210
1136,None,ERR2516350,None,ERR2513129,None,ERR2513997,None,ERR2514147,None,ERR2516227
1137,None,ERR2516244,None,ERR2514103,None,ERR2513114,None,ERR2513958,None,ERR2516184
1138,None,ERR2516315,None,ERR2514132,None,ERR2513869,None,ERR2513998,None,ERR2516319
1139,None,ERR2516273,None,ERR2513985,None,ERR2514163,None,ERR2514945,None,ERR2516205
1140,None,ERR2516235,None,ERR2513968,None,ERR2512945,None,ERR2512865,None,ERR2516305
1141,None,ERR2516259,None,ERR2514156,None,ERR2514833,None,ERR2514267,None,ERR2516306
1142,None,ERR2516323,None,ERR2514049,None,ERR2513252,None,ERR2514843,None,ERR2516293
1143,None,ERR2516278,None,ERR2513851,None,ERR2512417,None,ERR2512887,None,ERR2516174
1144,None,ERR2516275,None,ERR2514336,None,ERR2514830,None,ERR2512669,None,ERR2516218
1145,None,ERR2516204,None,ERR2513357,None,ERR2512652,None,ERR2514089,None,ERR2516250
1146,None,ERR2516360,None,ERR2512706,None,ERR2513687,None,ERR2513129,None,ERR2516194
1147,None,ERR2516328,None,ERR2513012,None,ERR2514147,None,ERR2514103,None,ERR2516300
1148,None,ERR2516312,None,ERR2513916,None,ERR2513958,None,ERR2514132,None,ERR2516353
1149,None,ERR2516267,None,ERR2513809,None,ERR2513998,None,ERR2513985,None,ERR2516269
1150,None,ERR2516216,None,ERR2513503,None,ERR2514945,None,ERR2513968,None,ERR2516341
1151,None,ERR2516223,None,ERR2513336,None,ERR2512865,None,ERR2514156,None,ERR2516318
1152,None,ERR2516299,None,ERR2512707,None,ERR2514267,None,ERR2514049,None,ERR2516246
1153,None,ERR2516172,None,ERR2512664,None,ERR2514843,None,ERR2513851,None,ERR2516324
1154,None,ERR2516272,None,ERR2513123,None,ERR2512887,None,ERR2514336,None,ERR2516258
1155,None,ERR2516193,None,ERR2512759,None,ERR2512669,None,ERR2513357,None,ERR2516202
1156,None,ERR2516332,None,ERR2513560,None,ERR2512596,None,ERR2512706,None,ERR2516238
1157,None,ERR2516224,None,ERR2514895,None,ERR2514089,None,ERR2513012,None,ERR2516354
1158,None,ERR2516260,None,ERR2514762,None,ERR2513129,None,ERR2513916,None,ERR2516298
1159,None,ERR2516197,None,ERR2512687,None,ERR2514103,None,ERR2513809,None,ERR2516234
1160,None,ERR2516348,None,ERR2513637,None,ERR2514132,None,ERR2513503,None,ERR2516358
1161,None,ERR2516225,None,ERR2199828,None,ERR2513985,None,ERR2513336,None,ERR2516211
1162,None,ERR2516248,None,ERR2516321,None,ERR2513968,None,ERR2512707,None,ERR2516268
1163,None,ERR2516242,None,ERR2516334,None,ERR2514156,None,ERR2513123,None,ERR2516317
1164,None,ERR2516179,None,ERR2516170,None,ERR2514049,None,ERR2512759,None,ERR2516309
1165,None,ERR2516236,None,ERR2516283,None,ERR2513851,None,ERR2513560,None,ERR2516247
1166,None,ERR2516241,None,ERR2516355,None,ERR2514336,None,ERR2514895,None,ERR2516304
1167,None,ERR2516212,None,ERR2516277,None,ERR2513357,None,ERR2514762,None,ERR2516331
1168,None,ERR2516210,None,ERR2516337,None,ERR2512706,None,ERR2512687,None,ERR2516231
1169,None,ERR2516227,None,ERR2516233,None,ERR2513012,None,ERR2513637,None,ERR2516296
1170,None,ERR2516184,None,ERR2516200,None,ERR2513916,None,ERR2199828,None,ERR2516221
1171,None,ERR2516319,None,ERR2516292,None,ERR2513809,None,ERR2516245,None,ERR2516180
1172,None,ERR2516205,None,ERR2516189,None,ERR2513503,None,ERR2516351,None,ERR2516253
1173,None,ERR2516305,None,ERR2516195,None,ERR2513336,None,ERR2516203,None,ERR2516265
1174,None,ERR2516306,None,ERR2516169,None,ERR2512707,None,ERR2516321,None,ERR2516187
1175,None,ERR2516293,None,ERR2516326,None,ERR2512664,None,ERR2516334,None,ERR2516185
1176,None,ERR2516174,None,ERR2516215,None,ERR2513123,None,ERR2516170,None,ERR2516240
1177,None,ERR2516218,None,ERR2516279,None,ERR2512759,None,ERR2516283,None,ERR2516222
1178,None,ERR2516250,None,ERR2516346,None,ERR2513560,None,ERR2516355,None,ERR2512906
1179,None,ERR2516194,None,ERR2516173,None,ERR2514895,None,ERR2516277,None,ERR2513505
1180,None,ERR2516207,None,ERR2516290,None,ERR2514762,None,ERR2516337,None,ERR2513162
1181,None,ERR2516300,None,ERR2516310,None,ERR2512687,None,ERR2516233,None,ERR2512472
1182,None,ERR2516353,None,ERR2516284,None,ERR2513637,None,ERR2516200,None,ERR2513351
1183,None,ERR2516269,None,ERR2516342,None,ERR2516313,None,ERR2516292,None,ERR2512810
1184,None,ERR2516341,None,ERR2516314,None,ERR2199828,None,ERR2516195,None,ERR2514644
1185,None,ERR2516318,None,ERR2516201,None,ERR2516345,None,ERR2516169,None,ERR2514612
1186,None,ERR2516246,None,ERR2516276,None,ERR2516351,None,ERR2516326,None,ERR2514313
1187,None,ERR2516307,None,ERR2516171,None,ERR2516203,None,ERR2516279,None,ERR2513327
1188,None,ERR2516262,None,ERR2516191,None,ERR2516321,None,ERR2516346,None,ERR2513010
1189,None,ERR2516335,None,ERR2516168,None,ERR2516334,None,ERR2516173,None,ERR2512844
1190,None,ERR2516324,None,ERR2516339,None,ERR2516170,None,ERR2516290,None,ERR2513093
1191,None,ERR2516258,None,ERR2516228,None,ERR2516283,None,ERR2516310,None,ERR2514176
1192,None,ERR2516202,None,ERR2516350,None,ERR2516355,None,ERR2516284,None,ERR2512760
1193,None,ERR2516238,None,ERR2516244,None,ERR2516277,None,ERR2516342,None,ERR2513558
1194,None,ERR2516354,None,ERR2516315,None,ERR2516337,None,ERR2516314,None,ERR2513271
1195,None,ERR2516298,None,ERR2516273,None,ERR2516233,None,ERR2516201,None,ERR2514693
1196,None,ERR2516234,None,ERR2516235,None,ERR2516200,None,ERR2516276,None,ERR2514541
1197,None,ERR2516358,None,ERR2516259,None,ERR2516292,None,ERR2516171,None,ERR2513244
1198,None,ERR2516211,None,ERR2516323,None,ERR2516189,None,ERR2516168,None,ERR2513741
1199,None,ERR2516268,None,ERR2516278,None,ERR2516195,None,ERR2516228,None,ERR2513305
1200,None,ERR2516317,None,ERR2516275,None,ERR2516169,None,ERR2516350,None,ERR2515085
1201,None,ERR2516309,None,ERR2516204,None,ERR2516326,None,ERR2516244,None,ERR2512605
1202,None,ERR2516247,None,ERR2516360,None,ERR2516215,None,ERR2516315,None,ERR2514875
1203,None,ERR2516304,None,ERR2516328,None,ERR2516279,None,ERR2516235,None,ERR2514149
1204,None,ERR2516331,None,ERR2516312,None,ERR2516346,None,ERR2516259,None,ERR2514820
1205,None,ERR2516231,None,ERR2516267,None,ERR2516173,None,ERR2516323,None,ERR2513150
1206,None,ERR2516296,None,ERR2516216,None,ERR2516290,None,ERR2516278,None,ERR2514470
1207,None,ERR2516221,None,ERR2516223,None,ERR2516310,None,ERR2516275,None,ERR2514696
1208,None,ERR2516180,None,ERR2516299,None,ERR2516284,None,ERR2516204,None,ERR2513141
1209,None,ERR2516253,None,ERR2516172,None,ERR2516342,None,ERR2516360,None,ERR2514879
1210,None,ERR2516311,None,ERR2516272,None,ERR2516314,None,ERR2516328,None,ERR2514769
1211,None,ERR2516265,None,ERR2516193,None,ERR2516201,None,ERR2516312,None,ERR2514787
1212,None,ERR2516187,None,ERR2516332,None,ERR2516276,None,ERR2516267,None,ERR2513480
1213,None,ERR2516185,None,ERR2516224,None,ERR2516171,None,ERR2516216,None,ERR2512683
1214,None,ERR2516240,None,ERR2516260,None,ERR2516191,None,ERR2516223,None,ERR2513142
1215,None,ERR2516222,None,ERR2516197,None,ERR2516168,None,ERR2516299,None,ERR2514062
1216,None,ERR2512906,None,ERR2516348,None,ERR2516339,None,ERR2516172,None,ERR2512537
1217,None,ERR2513505,None,ERR2516225,None,ERR2516228,None,ERR2516272,None,ERR2514849
1218,None,ERR2513162,None,ERR2516248,None,ERR2516350,None,ERR2516193,None,ERR2513960
1219,None,ERR2512472,None,ERR2516242,None,ERR2516244,None,ERR2516332,None,ERR2512692
1220,None,ERR2513351,None,ERR2516179,None,ERR2516315,None,ERR2516224,None,ERR2513753
1221,None,ERR2512810,None,ERR2516236,None,ERR2516273,None,ERR2516260,None,ERR2513314
1222,None,ERR2514644,None,ERR2516241,None,ERR2516235,None,ERR2516197,None,ERR2515044
1223,None,ERR2514612,None,ERR2516212,None,ERR2516259,None,ERR2516348,None,ERR2513980
1224,None,ERR2514313,None,ERR2516210,None,ERR2516323,None,ERR2516225,None,ERR2512475
1225,None,ERR2513327,None,ERR2516227,None,ERR2516278,None,ERR2516248,None,ERR2513393
1226,None,ERR2513010,None,ERR2516184,None,ERR2516275,None,ERR2516242,None,ERR2513577
1227,None,ERR2512844,None,ERR2516319,None,ERR2516204,None,ERR2516179,None,ERR2513110
1228,None,ERR2513093,None,ERR2516205,None,ERR2516360,None,ERR2516236,None,ERR2513055
1229,None,ERR2514176,None,ERR2516305,None,ERR2516328,None,ERR2516178,None,ERR2512639
1230,None,ERR2512760,None,ERR2516306,None,ERR2516312,None,ERR2516241,None,ERR2514015
1231,None,ERR2513558,None,ERR2516293,None,ERR2516267,None,ERR2516212,None,ERR2513333
1232,None,ERR2513271,None,ERR2516174,None,ERR2516216,None,ERR2516210,None,ERR2514490
1233,None,ERR2514693,None,ERR2516218,None,ERR2516223,None,ERR2516227,None,ERR2513823
1234,None,ERR2514541,None,ERR2516250,None,ERR2516299,None,ERR2516184,None,ERR2512574
1235,None,ERR2513244,None,ERR2516194,None,ERR2516172,None,ERR2516319,None,ERR2514235
1236,None,ERR2513741,None,ERR2516207,None,ERR2516272,None,ERR2516205,None,ERR2513818
